Species	Family
Plocamium patagiatum	Florideophyceae
Plocamium violaceum	Florideophyceae
Plocamiocolax sp.	Florideophyceae
Rhodymeniocolax	Florideophyceae
Rhodymeniocolax botryoides	Florideophyceae
Faucheocolax	Florideophyceae
Faucheocolax attenuata	Florideophyceae
unidentified rhodophyte B0m1	NA
unidentified algae B5m6	NA
Cyanidioschyzon	Bangiophyceae
Cyanidioschyzon merolae	Bangiophyceae
Sorella delicatula	Florideophyceae
Lithothamnion	Florideophyceae
Lithothamnion glaciale	Florideophyceae
Lithothamnion tophiforme	Florideophyceae
Phymatolithon	Florideophyceae
Phymatolithon laevigatum	Florideophyceae
Melobesioideae	Florideophyceae
Phymatolithon lenormandii	Florideophyceae
Clathromorphum	Florideophyceae
Clathromorphum compactum	Florideophyceae
Metagoniolithon	Florideophyceae
Metagoniolithon chara	Florideophyceae
Metagoniolithoideae	Florideophyceae
Amphiroideae	Florideophyceae
Corallinoideae	Florideophyceae
Cheilosporum	Florideophyceae
Bossiella	Florideophyceae
Bossiella orbigniana	Florideophyceae
Calliarthron	Florideophyceae
Calliarthron cheilosporioides	Florideophyceae
Calliarthron tuberculosum	Florideophyceae
Bossiella californica	Florideophyceae
Ellisolandia elongata	Florideophyceae
Haliptilon	Florideophyceae
Spongites	Florideophyceae
Spongites yendoi	Florideophyceae
Jania crassa	Florideophyceae
Serraticardia	Florideophyceae
Johansenia macmillanii	Florideophyceae
Amphiroa sp.	Florideophyceae
Lithophylloideae	Florideophyceae
Lithophyllum	Florideophyceae
Lithophyllum kotschyanum	Florideophyceae
Mastophoropsis	Florideophyceae
Mastophoropsis canaliculata	Florideophyceae
Leptophytum	Florideophyceae
Leptophytum acervatum	Florideophyceae
Leptophytum ferox	Florideophyceae
Lithothrix	Florideophyceae
Lithothrix aspergillum	Florideophyceae
Metagoniolithon radiatum	Florideophyceae
Metagoniolithon stelliferum	Florideophyceae
Sporolithaceae	Florideophyceae
Heydrichia	Florideophyceae
Heydrichia woelkerlingii	Florideophyceae
Sporolithon	Florideophyceae
Sporolithon durum	Florideophyceae
Synarthrophyton	Florideophyceae
Synarthrophyton patena	Florideophyceae
Mesophyllum	Florideophyceae
Mesophyllum engelhartii	Florideophyceae
Mesophyllum erubescens	Florideophyceae
Arthrocardia	Florideophyceae
Arthrocardia filicula	Florideophyceae
Jania rubens	Florideophyceae
Halymeniales	Florideophyceae
Sebdeniaceae	Florideophyceae
Mychodeaceae	Florideophyceae
Gelidium arbuscula	Florideophyceae
Gelidium pristoides	Florideophyceae
Porphyra linearis	Bangiophyceae
Galaxaura	Florideophyceae
Pyropia pulchra	Bangiophyceae
Polysiphonia urceolata	Florideophyceae
Sorella	Florideophyceae
Paralemanea catenata	Florideophyceae
Lemanea	Florideophyceae
Lemanea fluviatilis	Florideophyceae
Psilosiphonaceae	Florideophyceae
Psilosiphon	Florideophyceae
Sirodotia	Florideophyceae
Sirodotia huillensis	Florideophyceae
Sirodotia suecica	Florideophyceae
Tuomeya	Florideophyceae
Tuomeya americana	Florideophyceae
unclassified Acrochaetiales	Florideophyceae
Rhododraparnaldia	Florideophyceae
Rhododraparnaldia oregonica	Florideophyceae
Thoreaceae	Florideophyceae
Thorea	Florideophyceae
Thorea violacea	Florideophyceae
Nothocladus ater	Florideophyceae
Batrachospermum gelatinosum	Florideophyceae
Batrachospermum spermatoinvolucrum	Florideophyceae
Lemanea borealis	Florideophyceae
Lemanea fucina	Florideophyceae
Lemanea fucina var. parva	Florideophyceae
Pterocladiella	Florideophyceae
Pterocladiella capillacea	Florideophyceae
Gelidium sp. 'isolate North Carolina'	Florideophyceae
Galaxauraceae	Florideophyceae
Boldia	Compsopogonophyceae
Boldia erythrosiphon	Compsopogonophyceae
Pyropia dentata	Bangiophyceae
Pyropia katadae	Bangiophyceae
Bangia sp.	Bangiophyceae
Caloglossa leprieurii	Florideophyceae
Caloglossa apomeiotica	Florideophyceae
Caloglossa continua	Florideophyceae
Caloglossa monosticha	Florideophyceae
Caloglossa ogasawaraensis	Florideophyceae
Porphyridium sp.	Bangiophyceae
unclassified Rhodophyta	NA
environmental samples	NA
Pyropia onoi	Bangiophyceae
Porphyra tenuipedalis	Bangiophyceae
Corallina pilulifera	Florideophyceae
Apophlaea	Florideophyceae
Apophlaea lyallii	Florideophyceae
Pyropia seriata	Bangiophyceae
Camontagnea	Florideophyceae
Camontagnea oxyclada	Florideophyceae
Botryocladia ebriosa	Florideophyceae
Botryocladia sonderi	Florideophyceae
Gastroclonium ovatum	Florideophyceae
Rhodymenia stenoglossa	Florideophyceae
Asteromenia	Florideophyceae
Asteromenia peltata	Florideophyceae
Chrysymenia	Florideophyceae
Chrysymenia ornata	Florideophyceae
Chylocladia	Florideophyceae
Chylocladia verticillata	Florideophyceae
Coelarthrum	Florideophyceae
Coelarthrum opuntia	Florideophyceae
Dictyothamnion	Florideophyceae
Dictyothamnion saltatum	Florideophyceae
Erythrymenia	Florideophyceae
Faucheaceae	Florideophyceae
Faucheopsis	Florideophyceae
Faucheopsis coronata	Florideophyceae
Fryeella	Florideophyceae
Fryeella gardneri	Florideophyceae
Gelidiopsis	Florideophyceae
